CourseId,CourseTitle,DurationInSeconds,ReleaseDate,Description,AssessmentStatus,IsCourseRetired
aspdotnet-mvc,ASP.NET MVC Fundamentals,16984,2009-04-11,"ASP.NET MVC is a supplemental framework built on top of ASP.NET that supports the construction of Model View Controller based applications as an alternative to the post-back model of traditional ASP.NET applications. Building Web applications using MVC enables a clear separation of concerns between presentation and control logic, creates a test-friendly application that supports test-driven development (TDD), allows for finer-grained control over rendered HTML and JavaScript, and simplifies control over the URL space of an application. This course will dive into the MVC pattern and the ASP.NET framework architecture to give you the knowledge you need to develop web applications using ASP.NET and the ASP.NET MVC framework.",Live,no
aspdotnet-mvc-advanced-topics,ASP.NET MVC Advanced Topics,19845,2009-07-22,"This course covers more advanced topics in ASP.NET MVC including Ajax, TDD, and best practices.",Live,no
aspdotnet-mvc2,ASP.NET MVC 2.0 Fundamentals,6885,2010-08-13,"The ASP.NET MVC 2.0 framework adds a number of important new features, including data annotations, client validation, and model templates. This course will dive into these topics in addition to asynchronous controllers, areas, and more.",Live,no
aspdotnet-security,ASP.NET 3.5 Security,9519,2008-12-22,This course covers the membership and security features of ASP.NET.,Live,no
aspdotnet-undo,Implementing Undo in ASP.NET WebForms and MVC,4765,2010-08-27,"There's loads of advice out there recommending that you implement an Undo feature in your website instead of popping up warning messages to protect users from ""dangerous"" operations. But there's not a lot of advice out there for how to actually go about doing this in ASP.NET, in either WebForms or MVC. In this course, Keith Brown walks you through his implementation of undo at pluralsight.com to help you get a feel for how you might implement such a feature in your own website.",Live,no
azure-fundamentals,Windows Azure Fundamentals,17856,2010-03-27,This course introduces you to the new world of cloud computing and how to build on the Windows Azure Platform. We'll cover Windows Azure compute and storage and SQL Azure. Along the way we'll discuss cloud computing tradeoffs and help you understand the constraints and limitations imposed by the cloud computing model offered by the Windows Azure Platform today.,Live,no
bts09-advanced-topics,BizTalk 2009 Business Process Management,16979,2009-11-24,This course covers Business Process Management features in BizTalk Server 2009,Live,no
bts09-custom-ms,Advanced BizTalk Server 2009,44357,2010-04-06,"This course provides detailed investigation into features of BizTalk Server including BAM, Business Rules, EDI, and the WCF adapters.",None,no
bts09-fundamentals,BizTalk 2009 Fundamentals,13929,2009-11-24,"Despite the trend towards service-oriented architectures, most organizations do not have the luxury of moving all of their investments in that direction at once. The fact is most will have to deal with legacy applications for some time to come. And to complicate matters further, typical business processes transcend multiple heterogeneous applications making them difficult to automate. In this course we look at how to use BizTalk Server (BTS) to bridge such integration gaps and simplify business process automation. By combining the connectivity provided by its messaging engine with the productivity provided by its orchestration engine, BizTalk Server can help you tackle tough business process scenarios in your connected systems today.",Live,no
btsr2-fundamentals,BizTalk Server 2006 R2 Fundamentals,21996,2008-08-20,"BizTalk Server 2006 is Microsoft's integration and business process management server offering based on .NET 2.0. BizTalk Server 2006 R2 is a release of BizTalk Server that brings it into the .NET 3.0 world, with integration between BizTalk and Windows Communication Foundation (WCF) and Windows Workflow Foundation (WF). R2 also includes full support for EDI, including both X12 and EDIFACT schema support, as well as support for EDI transaction batching. It also includes BizTalk RFID, which will enable integration between software and objects in the physical world.",None,no
clojure-concurrency-tutorial,Clojure Concurrency,9261,2010-04-09,"Clojure is a new Lisp that runs on the JVM and CLR, and provides interesting new ways to write highly concurrent programs. Rather than make use of complicated locking primitives, Clojure provides a set of powerful, immutable-by-default data types and adds language-level support for mutating them in controlled ways. We'll examine just enough Clojure syntax to allow us to delve into this approach to managing concurrency-based complexity. No previous exposure to Clojure is assumed or required.",Live,no
clr-fundamentals,CLR Fundamentals,15647,2010-04-13,"At the heart of the .NET Framework is an execution engine called the Common Language Runtime. Designed from the ground up to support a myriad of programming language styles, the CLR provides a common type system, automatic memory management, support for concurrent execution, and facilitites for interoperating with native Win32 and COM components. Whether you're developing RESTful services using WCF, graphics-intensive desktop applications using WPF, or forms-based web applications using ASP.NET, the CLR provides the foundation for your application's managed execution. This module explores several key services provided by the CLR in support of managed application development on the .NET Framework.",Live,no
clr-threading,CLR Threading,9451,2010-04-13,This course presents the threading features of the CLR.,Live,no
csharp-fundamentals,Accelerated C# Fundamentals,22668,2010-03-26,"C# is Microsoft's entry into the world of managed programming. Using a syntax that is deliberately reminiscent of Java, C++ and C, C# achieves a natural tradeoff of terseness and clarity, enabling programmers to express concepts in a clear and maintainable form. Note - this course was originally titled ""C# Fundamentals - Part 1"", but has been renamed to more accurately reflect the target audience and content of this course. The course content itself has not been changed since its original publication. For a beginner-level introduction to C#, watch ""C# Fundamentals with C# 5.0.""",Live,no
dotnet-csharp-tutorial,Introduction to C# and .NET,13531,2009-07-14,"This tutorial is aimed at programmers who are already familiar with an object oriented language like Java or even C++. It is designed to take your existing knowledge and transfer that to the .NET Framework, teaching both C# syntax, .NET Framework, and Visual Studio features in a fast-paced introduction to the Microsoft .NET development platform.",Live,no
dotnet-distributed-architecture,.NET Distributed Systems Architecture,19824,2010-07-06,This course provides an overview of the architecture and technology used to build distributed sytems on the Microsoft platform. The course looks at the general knowledge one needs prior to building a distributed system. There is a focus on design patterns and concepts as well as an overview of the key technologies used by Microsoft .NET developers.,Live,no
dynamic-data-tutorial,ASP.NET Dynamic Data Fundamentals,18135,2010-06-17,"In this tutorial, we build a simple campaign management application using Dynamic Data and EF 4. We start by modeling our business domain using the Model-First approach, and see how to access data using familiar ASP.NET pages. Then we move on to exploring the Dynamic Data infrastructure and learn to customize it to our specific needs. Next we drill down into Dynamic Data controls and learn how to use them in custom web pages. We also learn how to add validation and business rules to our application. Finally we set out to improve our architecture by achieving better separation of concerns.",Live,no
ef4-fundamentals,Entity Framework 4.0 By Example,8337,2010-08-27,This course walks you through the basics of using Entity Framework 4.0.,Live,no
federated-identity,Introduction to Federated Identity,5388,2000-01-01,,None,yes
iis-certificates,Introduction to IIS Certificates,2696,2010-06-25,"Developers have to deal with certificates quite often. The are used by WEB servers and Web browsers, used to sign documents etc. This course introduces the practical aspects of public key cryptography. It shows the layout of certificates, the tools to manipulate them, how to obtain them, do key maintenance. Briefly touches on self signed certificates. Describes CA hierarchies and shows the Chain Building process. References to further literature.",Live,no
iphone-aspdotnet,iPhone ASP.NET Fundamentals,25754,2010-07-01,"The iPhone’s rich user interface and platform features provide for the creation of applications that are compelling to both users and developers. Although commonly thought to be available only to native applications, the most common user interface and platform features are also available to iPhone and iPod Touch web applications. In this course you will learn how to apply your existing ASP.NET skills to create iPhone web applications that capitalize on the rich capabilities of the iPhone platform while maintaining all of the management and deployment benefits of the web. Topic coverage includes iPhone user interface techniques, GPS and location-aware capabilities, creating web applications that look and behave as native applications, offline application support, and the iPhone User Interface (iUI) open source framework.",Live,no
linq-architecture,LINQ Architecture,4997,2010-10-08,This course looks at using LINQ in the business and data access layers of an application. We'll describe how to use LINQ features to create more expressive business logic by applying functional programming and building fluent APIs. We'll also see the impact of LINQ on build data access components and discuss the tradeoffs of laziness versus greediness.,Live,no
linq-data-access,LINQ Data Access,20447,2008-12-06,"Language Integrated Query (LINQ) introduces fundamental changes to the techniques .NET developers will use to access data. LINQ brings general-purpose query facilities to the .NET framework and allows a developer to query data inside of in-memory objects, data inside of relational databases, and data inside of XML using a uniform API and syntax.",Live,no
linq-fundamentals,LINQ Fundamentals,17429,2008-10-26,"Language Integrated Query (LINQ) introduces fundamental changes to the techniques .NET developers will use to access data. LINQ brings general-purpose query facilities to the .NET framework and allows a developer to query data inside of in-memory objects, data inside of relational databases, and data inside of XML using a uniform API and syntax. This course will cover the basics of working with LINQ and C#.",Live,no
mse-advanced-topics,Managed Services Engine Advanced Topics,14112,2009-11-24,"This course covers more advanced topics in the Managed Services Engine (MSE) including extensibility, REST, and Cloud resources",Live,no
mse-fundamentals,Managed Services Engine Fundamentals,13185,2009-11-24,"Service virtualization is an emerging trend in the SOA landscape that focuses on providing a common infrastructure for building and managing complex service ecosystems. This course introduces you to the world of service virtualization and teaches you how to bring it to life using the Managed Services Engine (MSE), a complete service virtualization solution provided by Microsoft Services through CodePlex.",Live,no
odata-introduction,Introduction to OData,7381,2010-06-07,"Many services today expose data. Unfortunately, each service has unique data formats and APIs. OData provides a set of conventions and protocol for reading and writing data across the web using open web standards. This course will give you an understanding of what OData and how to build both clients and services.",Live,no
patterns-library,Design Patterns Library,54070,2010-09-10,"The design patterns library contains descriptions and examples of software design patterns that you can apply in your daily development. These patterns are time proven techniques for building long-lived, well factored software that are widely used in software development today. Unlike other courses in our library, this course will continue to grow with new patterns each month, so check back often.",Live,no
principles-oo-design,SOLID Principles of Object Oriented Design,14909,2010-09-10,"The SOLID principles are fundamental to designing effective, maintainable, object-oriented systems. Whether you've only just begun writing software or have been doing so for years, these principles, when used appropriately, can improve the encapsulation and coupling of your application, making it more malleable and testable in the face of changing requirements.",Live,no
sharepoint-administration,SharePoint 2007 Tutorial for Site Administrators,7739,2010-03-24,"Microsoft Office SharePoint Server 2007, provides comprehensive, scalable collaborative capabilities that, through components of content management and integrated search, support dynamic, efficient information processing and sharing; providing organizations productivity gains and more comprehensive output. In this course, through introduction to the front end, you will learn tools and steps essential to build and manage a Site Collection. Purpose driven sessions provide component review augmented with, administrative efficiencies, business drivers and best practices.",Live,no
sharepoint-business-services,SharePoint 2007: Business Services,15080,2010-07-20,This course focuses on Microsoft Office SharePoint Server 2007 (MOSS) and how you can leverage the portal and content management features of MOSS as well as the Business Data Catalog and Excel Services.,None,no
sharepoint-client-programming,SharePoint 2007 Services Client Programming,8504,2010-07-05,"Windows SharePoint Services 3.0 (WSS3) is a versatile technology that you can use to increase the efficiency of business processes and improve team productivity. WSS3, which runs on top of Windows Server 2003 or Windows Server 2008, provides a rich platform for building Web-based applications that can scale easily to meet the changing and growing needs of your business. In this course, you will learn how WSS3 works under the covers and how you can build rich, interactive sites that enhance your team's information management and exchange.",None,no
sharepoint-fundamentals,SharePoint 2007 Fundamentals for Developers,26954,2010-06-29,"Windows SharePoint Services 3.0 (WSS3) is a versatile technology that you can use to increase the efficiency of business processes and improve team productivity. WSS3, which runs on top of Windows Server 2003 or Windows Server 2008, provides a rich platform for building Web-based applications that can scale easily to meet the changing and growing needs of your business. In this course, you will learn how WSS3 works under the covers and how you can build rich, interactive sites that enhance your team's information management and exchange.",Live,no
silverlight-advanced-topics,Silverlight 3 Advanced Topics,7553,2010-03-25,"This course covers more advanced topics in Silverlight 3 including server communication, custom controls, and navigation.",Live,no
silverlight-core,Core Silverlight 4,22798,2010-09-03,"Silverlight is a browser plug-in that runs Rich Internet Applications. It brings a trimmed down version of the .NET Framework to web browser client-side programming. It also provides a user interface framework that is very similar to WPF, enabling developers familiar with WPF to learn Silverlight with ease. This course shows the main aspects of building user interfaces with Silverlight 4.",Live,no
silverlight-fundamentals,Silverlight 3 Fundamentals,23528,2008-10-28,"Silverlight is a browser plug-in that runs Rich Internet Applications. It brings a trimmed down version of the .NET Framework to web browser client-side programming. It also provides a user interface framework that is very similar to WPF, enabling developers familiar with WPF to learn Silverlight with ease. This course shows the main aspects of building user interfaces with Silverlight 3.",Live,no
silverlight-ria-services,WCF RIA Services,17718,2010-09-03,"Microsoft WCF RIA Services provides a pattern to write application logic that runs on the mid-tier and controls access to data for queries, changes and custom operations. It also provides end-to-end support for common tasks such as data validation, authentication and roles by integrating with Silverlight components on the client and ASP.NET on the mid-tier.",Live,no
sp2010-basics,SharePoint 2010 Basics,6479,2010-08-27,"This course introduces you to the basics you must know for any work within SharePoint 2010. This course also serves as a pre-requisite to all other SP2010 courses in PSOD. This course begins by explaining the nature of a SharePoint project, the various audiences and their roles involved, and their expected levels of expertise. It introduces you to the various tools you can use, and the various environments you will need to be productive in a SharePoint project. This course also talks about the basics of any SharePoint installation. The important file paths, the changes done to your OS as a part of the installation, configuration, and the basics of SharePoint logical and physical topology are all covered in this course. These are questions you will need answers to in any SharePoint project you undertake. Finally, this course covers some very basic development, and new manageability enhancements around Sandbox Solutions in SharePoint 2010. These are new features introduced in SharePoint 2010 that every architect needs to consider before planning their SharePoint rollout.",None,no
sp2010-client-object-model,SharePoint Development with the CSOM and REST API,12501,2010-09-24,"The SharePoint 2010 Client Object Model is a set of three APIs (one for .NET managed code, one for Silverlight code, and one for use with JavaScript) that allow remote access to SharePoint. These object models are designed to be consistent with each other and to be similar to the SharePoint Server API. The overall goal being a reduced learning curve for developers who wish to build remote applications interacting with SharePoint. This course covers the fundamental uses of each of the three implementations of the Client Object Model along with a discussion of the motivation for the Client Object Model as a whole.",Live,no
sp2010-development,SharePoint 2010 Development,9995,2010-09-24,"SharePoint 2010 is the most developer-friendly release of SharePoint to date, with a whole new suite of developer tools and components that make your life easier and enhances your productivity. Learn how to debug your SharePoint applications, how to build custom Web parts with the new Visual Studio 2010 tooling, and how to use the new client object models to access SharePoint from your WPF, Silverlight, and JavaScript applications.",None,no
sql-server-bi,SQL Server Business Intelligence Overview,13675,2010-05-10,"This course introduces you to some of the Business Integration tools available in SQL Server, including SSIS, SSRS, and SSAS.",Live,no
sql-server-fundamentals,SQL Server Fundamentals,29558,2010-06-15,This course is primarily for C# developers who use SQL Server in their applications. T-SQL developers and Database Administrators will also find it useful.,Live,no
sql-server-tsql,SQL Server - TSQL,17221,2010-03-22,"This course is primarily for C# developers who use SQL Server in their applications. T-SQL developers and Database Administrators will also find it useful. It covers the fundamentals of using SQL Server from T-SQL to the CLR, to automating processing with SQL Server Integration services.",Live,no
sql-server-xml,Using XML and XQuery Effectively with SQL Server,19778,2010-08-20,"This course covers SQL Server's integration with XML technologies including the XML data type, XQuery implementation, XML Schema support, and XML index performance considerations. It also covers different ways of integrating XML with related SQL Server features.",Live,no
vb6-to-vbdotnet-fundamentals,Moving from VB6 to VB.NET,7673,2009-11-12,"Visual Basic 9.0, hitting the scene in late 2007, is a sophisticated and mature programming language. Combined with the latest release of the .NET Framework and Visual Studio, the result is an incredibly powerful programming environment. This mini-course will start the VB6 developer down the path to VB.NET, presenting a variety of topics including tool support, porting options, thinking the ""VB.NET-way"" vs. the ""VB6-way"", and some of the major differences of VB.NET and .NET over VB6 and COM. Along the way, we'll see many VB6 and VB.NET coding examples involving GUIs, data access, classes, and OOP.",Live,no
vs2010-tfs-nondevs,Managing Work with Team Foundation Server 2010,9035,2010-08-20,"As a complete Application Lifecycle Management solution, Team Foundation Server is no longer used only by developers. Several features of TFS are used by non-technical team members like Project Managers, Business Analysts, Product Owners and departmental managers. This course teaches concepts and usage of TFS 2010 with detail and language suitable for non-technical team members, and a level of detail appropriate to anyone needing an overview of the platform's capabilities.",Live,no
vs2010-vsx,Customizing and Extending Visual Studio 2010 Without Code,17718,2010-07-25,"This course is aimed at developers who use Visual Studio and want to learn how to extend it. There are many different ways to do so, and not all involve writing code. This course introduces macros, code snippets, a custom start page, and project and item templates. Emphasis is on the newer technologies including the VSIX format and the Visual Studio Gallery, but old techniques that still work in Visual Studio 2010 are included. These techniques do not require writing code that interacts with Visual Studio.",Live,no
vs2010-vsx-code,Customizing and Extending Visual Studio 2010 by Writing Code,14839,2010-08-27,"This course is aimed at developers who use Visual Studio and want to learn how to extend it. You will learn how to write code that interacts with Visual Studio. The techniques covered include editor extensions, diagramming extensions, add-ins and packages. Familiarity with the VSIX format, the Visual Studio SDK, and the DTE object model (all covered in ""Customizing and Extending Visual Studio 2010 Without Code"") provide the background needed for this course.",Live,no
vsts-developer-tools,Visual Studio Team System 2008 Developer Tools,16546,2010-04-26,This course looks at the many developer tools available with Visual Studio Team System 2008.,Live,no
vsts-fundamentals,Visual Studio Team System 2008 Fundamentals,12879,2010-04-26,"The course ensures all team members can use the many features of Visual Studio Team System to improve the software development process. Starting with issues like licensing and overall architecture, the course proceeds through all features for every role. With the skills, techniques, and principles taught in the course Architects, Software Developers, Software Testers, Business Analsysts, Project Managers, Team leaders and Managers, and database proessionals will all find value and improve their toolset. Students report measurable improvement in the quality of the software they produce.",Live,no
wcf-advanced-topics,WCF Advanced Topics,15082,2009-11-24,"Windows Communication Foundation (WCF) is the basis for building connected systems on the Windows platform using .NET, making it possible to build secure, reliable, and transacted services that can be composed into service-oriented applications. This course explores some of the more advanced aspects of WCF-based service development, such as hosting, WCF runtime internals, and extensibility.",Live,no
wcf-design-concepts,WCF Design Concepts,23704,2008-08-22,"Windows Communication Foundation (WCF) is the basis for building connected systems on the Windows platform using .NET, making it possible to build secure, reliable, and transacted services that can be composed into service-oriented applications. This course explores several key areas of WCF service architecture, including serialization, service contracts, faults and exceptions, security and reliability.",Live,no
wcf-for-architects,WCF For Architects,14626,2010-08-27,This course provides an introduction to WCF. It then covers how to use WCF for the enterprise and for the Web. It covers two aspects all architects and .NET developers need to understand: versioning and serialization.,Live,no
wcf-fundamentals,WCF Fundamentals,16354,2008-08-22,"Windows Communication Foundation (WCF) is the basis for building connected systems on the Windows platform using .NET, making it possible to build secure, reliable, and transacted services that can be composed into service-oriented applications. This course introduces developers to the WCF platform, exploring the client- and service-side aspects of programming RESTful services.",Live,no
wcf4-newfeatures,WCF 4 New Features,9027,2010-07-21,This course covers updates to WCF between 3.5 and 4.0. A number of changes were made to make configuration easier and to better integrate WCF REST with ASP.NET. WCF 4.0 also includes new features to support Discovery and Routing.,Live,no
wf-advanced-topics,Windows Workflow 3.5 Advanced Topics,22303,2008-05-31,This course covers more advanced topics in Windows Workflow Foundation.,Live,no
wf-fundamentals,Windows Workflow 3.5 Fundamentals,23178,2008-05-31,"Windows Workflow Foundation (WF) allows developers to create dynamic, reactive applications with true object reuse and composition. WF provides the tools and services .NET developers need to add rich workflow capabilities to their ASP.NET and Smart Client applications as well as Web and Windows services. WF solves many common problems that developers encounter when building typical applications with processes that span more than a single interaction. With the ability to fully involve business users and IT Pros in the use and monitoring of an application, WF stands to single-handedly change the way .NET programs are written in the future. This course provides fast-paced exposure to WF to get you started today, and provides information on using WF with the Windows Communication Foundation (WCF) to build transparent services and smart clients.",Live,no
wf4-custom-activities,WF 4 Custom Activity Development,8007,2010-08-27,"Windows Workflow Foundation (WF) allows developers to create declarative application logic for quicker development. Custom activities are the key to reuse and simplified application development. In this course, you will learn how to build simple and advanced activities including custom control flow activities. Coverage includes building asynchronous activities as well as how to create template activities that allows consumers to define some of the activity logic. NOTE: this course contains the same introductory activity module found in the WF4 introduction course. If you have watched the module there already, you can skip to the second module.",Live,no
wf4-fundamentals,Introduction to WF 4,9207,2010-07-07,"Windows Workflow Foundation (WF) allows developers to create declarative application logic for quicker development, simplification of complex tasks, and management of long-running business logic. Learn how to use WF in your web applications, web services, or any .NET application. This is the first in a series of short courses on WF 4, and lays the foundation for other courses. Future courses will focus on particular development areas such as activity development, workflow services, hosting, designers, etc. This course is focused on WF in .NET 4. No knowledge of WF in .NET 3.x is assumed or required/recommended. For users interested in WF 3 (used in SharePoint 2007/2010), we recommend the Windows Workflow Fundamentals course which covers WF 3.",Live,no
wf4-workflow-services,WF4 Workflow Services Fundamentals,8609,2010-08-27,"One of the key investments in WF4 was tighter integration with WCF. This course shows you how to build workflow services, host them and manage correlation. In addition, there is a module on how to consume services from a workflow using WCF.",Live,no
win7-intro,Developing for Windows 7,14256,2010-07-12,"The release of Windows 7 brings with it a myriad of new features and APIs, including restart management, task dialogs, and Windows Search. Learn how to migrate your existing applications from Windows XP to Windows 7, and make your applications light up on the new platform.",Live,no
windows7-developer-tutorial,Introduction to Windows 7 Development,15661,2010-05-05,This tutorial is aimed at Windows developers (Windows Forms or WPF) who want to add Windows 7 capabilities to their application. The emphasis is on providing a helpful and efficient user experience by hooking into what Windows 7 has to offer. You do not need to know how to interop to native code or how the Windows 7 features work internally.,Live,no
wpf-advanced-topics,WPF Advanced Topics,9852,2008-10-28,"This course covers more advanced topics in Windows Presentation Foundation, including printing, threading, and interop.",Live,no
wpf-fundamentals,WPF and XAML Fundamentals,25214,2008-10-28,"Windows Presentation Foundation (WPF) is Microsoft's next-generation presentation platform. WPF is built into Windows Vista and also runs on Windows XP and Windows Server 2003. WPF allows rich client applications to take full advantage of the graphical capabilities of a modern PC. Its powerful and flexible programming model integrates support for flexible layout, high-quality text, resolution-independent graphics, animation, video and 3D. While it is designed to exploit the full capabilities of today's high-performance graphics cards, it offers high-level abstractions that offer great power to the developer for less development effort than ever before. This course will introduce practicing .NET developers to the new programming models and UI features introduced by WPF.",Live,no
bts09-wcf,BizTalk 2009 and WCF,13227,2010-11-12,"This course covers the WCF adapters, WCF Line of Business SDK and WCF BAM integration, to provide a whole picture of WCF integration with BizTalk Server",Live,no
bts10-custom-ms,Advanced BizTalk Server 2010,44694,2010-11-12,"This course provides detailed investigation into features of BizTalk Server including BAM, Business Rules, EDI, and the WCF adapters. NOTE: All labs for this course were built and tested against BizTalk 2010. However, only the EDI recordings have been updated to 2010 as there are not significant changes in the other topics from BizTalk Server 2009.",None,no
efintro-models,Entity Framework and Data Models,5520,2010-11-05,"This course looks at why you use Entity Framework, creating entity data models from a database, and creating a conceptual data model by describing the entities in your applications and then creating a database from that description.",Live,no
powerpivot-for-excel,PowerPivot for Microsoft Excel 2010,8632,2010-11-05,"Learn how to use Microsoft PowerPivot to do self service Business Intelligence. This course will guide you through importing data, working with it, then creating pivot tables and charts all in Excel 2010.",Live,no
test-first-development-1,Test First Development - Part 1,12825,2010-11-16,"This course introduces a test-first development style to build better software. We’ll discuss the value of unit testing and demonstrate the red-green-refactor workflow in the design and implementation of business requirements. Using tools like NUnit and JetBrains Resharper we’ll also demonstrate tips and practices for refactoring, and writing effective unit tests. This course is appropriate for developers new to the practice of writing unit tests.",Live,no
wcf-by-example,WCF by Example,7103,2009-11-12,"Windows Communication Foundation (WCF) is the next-generation platform for building connected systems on the Windows platform. WCF makes it possible to build secure, reliable, and transacted services that can be composed into service-oriented applications.",Live,no
aspdotnet4-delta,ASP.NET 4.0 New Features,8824,2010-11-23,"This course covers the new features that were added to ASP.NET 4.0, including ViewState improvements, routing, deployment, and several additional miscellaneous enhancements.",Live,no
intro-dwbi-course,Introduction to Data Warehousing and Business Intelligence,4406,2010-11-30,This course is a overview of Data Warehousing and Business Intelligence. We start by looking about terms and concepts in Data Warehousing and Business Intelligence. We finish with high level examples of the tools used to create nd fill a Data Warehouse and then analyze and report on that data.,Live,no
silverlight-ria-services-advanced-topics,WCF RIA Services Advanced Topics,12400,2010-09-03,This course covers advanced topics in WCF RIA Services with Silverlight 4 including security and unit testing,Live,no
continuous-integration,Continuous Integration,9280,2010-12-10,"This course introduces the theory and practice of continuous integration (CI). Students are shown how to set up a build server for CI and create build scripts using MSBuild to manage the overall build process. Different aspects of a build pipeline are explored including code compilation, testing, coverage, static code analysis, packaging, and deployment. This course is appropriate for developers new to the practice of continuous integration.",Live,no
csharp-newincs5,C# 5 New Features,4512,2010-12-10,"C# v5 is the planned next version of C#. This course illustrates new features of the language. (Currently, Microsoft has only released a preview of the asynchronous features, but as previews of the other features become available, this course will expand to include those.)",Live,no
wp7-intro,Windows Phone 7 Basics,10400,2010-12-11,The course introduces you to the basics of the Windows Phone 7 development using Visual Studio 2010 and Blend. The course will provide you with an overview of the platform and the tools you need to get started as well as deep dive into the phone’s execution and navigation models.,Live,no
intro-ssrs-reporting,Reporting Services Report Development Fundamentals - Part 1,17294,2010-12-14,"This course provides an introduction to Reporting Services for report developers having no prior experience with the product by explaining how to use the development tools effectively, how to present and enhance data in a report, and how to create dynamic reports. The features and demonstrations in this course focus on the SQL Server 2008 R2 release, although most functionality (with the exception of the tablix control) also applies to earlier versions of Reporting Services.",Live,no
azure-appfabric-course,Windows Azure AppFabric,15590,2010-12-26,"The Windows Azure AppFabric contains three services meant to improve developer productivity in the cloud: Cache, Access Control, and Service Bus. This course covers all areas of these services. The services themselves offer a lot of functionality: high performance caching of frequently used data, an STS that can make single sign-on a breeze from corporate accounts, and a mechanism to expose services from your local infrastructure out to the Internet. Inside, you'll find gems like a pub sub system, short-lifetime queues, and full authentication integration with Google, Yahoo!, Facebook, and Windows Live.",Live,no
